method,marg_cov,worst_win_cov,cov_lowvol,cov_hivol,cond_cov_gap,width,interval_score,CRPS,logscore
NNS native PI,0.845217041800643,0.561,0.9271704180064309,0.852572347266881,0.14855305466237945,5.658247904936664,8.673563693193246,1.0902136839659236,2.076059884663743
NNS + split-CP (flat),0.8243569131832797,0.515,0.8993569131832798,0.84983922829582,0.1686495176848875,5.397754711147717,8.734633715776543,1.090996705962063,2.101657125801346
NNS + Gaussian (flat),0.8206993569131832,0.516,0.8940514469453376,0.8421221864951768,0.17025723472668813,5.332100605902861,8.772635078222827,1.091613092749769,2.104833304629708
NNS + split-CP (per-lead),0.890112540192926,0.5820000000000001,0.9829581993569132,0.8437299035369776,0.09909967845659165,7.995348220035973,10.520733085082481,1.1692625763837228,2.267904409014462
